tempo	theta	ref	usig
37.400	51.880	50.000	41.655
37.401	51.912	50.000	41.655
37.402	51.951	50.000	41.655
37.403	51.977	50.000	41.655
37.404	51.998	50.000	41.655
37.405	52.052	50.000	41.655
37.406	52.095	50.000	41.655
37.407	51.919	50.000	41.655
37.408	51.891	50.000	41.655
37.409	51.966	50.000	41.655
37.410	51.393	50.000	41.655
37.411	51.246	50.000	41.655
37.412	51.454	50.000	41.655
37.413	51.597	50.000	41.655
37.414	51.672	50.000	41.655
37.415	51.776	50.000	41.655
37.416	51.769	50.000	41.655
37.417	51.733	50.000	41.655
37.418	51.851	50.000	41.655
37.419	51.830	50.000	41.655
37.420	51.808	50.000	41.655
37.421	51.851	50.000	41.655
37.422	51.866	50.000	41.655
37.423	51.869	50.000	41.655
37.424	51.826	50.000	41.655
37.425	51.905	50.000	41.655
37.426	51.876	50.000	41.655
37.427	51.894	50.000	41.655
37.428	51.926	50.000	41.655
37.429	51.891	50.000	41.655
37.430	51.844	50.000	41.655
37.431	51.891	50.000	41.655
37.432	51.937	50.000	41.655
37.433	52.002	50.000	41.655
37.434	51.973	50.000	41.655
37.435	52.002	50.000	41.655
37.436	52.066	50.000	41.655
37.437	51.984	50.000	41.655
37.438	51.980	50.000	41.655
37.439	51.905	50.000	41.655
37.440	51.858	50.000	41.655
37.441	51.841	50.000	41.655
37.442	51.812	50.000	41.655
37.443	51.815	50.000	41.655
37.444	51.790	50.000	41.655
37.445	51.855	50.000	41.655
37.446	51.891	50.000	41.655
37.447	51.801	50.000	41.655
37.448	51.862	50.000	41.655
37.449	51.862	50.000	41.655
37.450	51.780	50.000	41.655
37.451	51.808	50.000	41.655
37.452	51.876	50.000	41.655
37.453	51.808	50.000	41.655
37.454	51.873	50.000	41.655
37.455	51.894	50.000	41.655
37.456	51.955	50.000	41.655
37.457	51.841	50.000	41.655
37.458	51.851	50.000	41.655
37.459	51.751	50.000	41.655
37.460	51.730	50.000	41.655
37.461	51.862	50.000	41.655
37.462	51.808	50.000	41.655
37.463	51.819	50.000	41.655
37.464	51.855	50.000	41.655
37.465	51.930	50.000	41.655
37.466	51.909	50.000	41.655
37.467	51.851	50.000	41.655
37.468	51.876	50.000	41.655
37.469	51.944	50.000	41.655
37.470	51.762	50.000	41.655
37.471	51.701	50.000	41.655
37.472	51.712	50.000	41.655
37.473	51.690	50.000	41.655
37.474	51.823	50.000	41.655
37.475	51.798	50.000	41.655
37.476	51.801	50.000	41.655
37.477	51.679	50.000	41.655
37.478	51.722	50.000	41.655
37.479	51.737	50.000	41.655
37.480	51.755	50.000	41.655
37.481	51.815	50.000	41.655
37.482	51.841	50.000	41.655
37.483	51.880	50.000	41.655
37.484	51.862	50.000	41.655
37.485	51.919	50.000	41.655
37.486	51.962	50.000	41.655
37.487	51.876	50.000	41.655
37.488	51.772	50.000	41.655
37.489	51.769	50.000	41.655
37.490	51.636	50.000	41.655
37.491	51.730	50.000	41.655
37.492	51.798	50.000	41.655
37.493	51.783	50.000	41.655
37.494	51.823	50.000	41.655
37.495	51.808	50.000	41.655
37.496	51.998	50.000	41.655
37.497	51.851	50.000	41.655
37.498	51.815	50.000	41.655
37.499	51.830	50.000	41.655
37.500	51.830	50.000	41.655
37.501	51.726	50.000	41.655
37.502	51.432	50.000	41.655
37.503	51.457	50.000	41.655
37.504	51.081	50.000	41.655
37.505	50.763	50.000	41.655
37.506	51.028	50.000	41.655
37.507	51.318	50.000	41.655
37.508	51.611	50.000	41.655
37.509	51.665	50.000	41.655
37.510	51.661	50.000	41.655
37.511	51.737	50.000	41.655
37.512	51.751	50.000	41.655
37.513	51.733	50.000	41.655
37.514	51.769	50.000	41.655
37.515	51.841	50.000	41.655
37.516	51.905	50.000	41.655
37.517	51.887	50.000	41.655
37.518	51.883	50.000	41.655
37.519	51.876	50.000	41.655
37.520	51.794	50.000	41.655
37.521	51.830	50.000	41.655
37.522	51.758	50.000	41.655
37.523	51.758	50.000	41.655
37.524	51.769	50.000	41.655
37.525	51.790	50.000	41.655
37.526	51.841	50.000	41.655
37.527	51.747	50.000	41.655
37.528	51.776	50.000	41.655
37.529	51.787	50.000	41.655
37.530	51.772	50.000	41.655
37.531	51.772	50.000	41.655
37.532	51.815	50.000	41.655
37.533	51.794	50.000	41.655
