tempo	theta	ref	usig
11.199	51.548	30.000	41.545
11.200	51.608	30.000	41.545
11.201	51.558	30.000	41.545
11.202	51.591	30.000	41.545
11.203	51.598	30.000	41.545
11.204	51.612	30.000	41.545
11.205	51.594	30.000	41.545
11.206	51.637	30.000	41.545
11.207	51.573	30.000	41.545
11.208	51.580	30.000	41.545
11.209	51.587	30.000	41.545
11.210	51.576	30.000	41.545
11.211	51.505	30.000	11.545
11.212	51.516	30.000	11.545
11.213	51.583	30.000	11.545
11.214	51.644	30.000	11.545
11.215	51.591	30.000	11.545
11.216	51.580	30.000	11.545
11.217	51.551	30.000	11.545
11.218	51.587	30.000	11.545
11.219	51.141	30.000	11.545
11.220	51.248	30.000	11.545
11.221	51.052	30.000	11.545
11.222	51.373	30.000	11.545
11.223	51.476	30.000	11.545
11.224	51.544	30.000	11.545
11.225	51.566	30.000	11.545
11.226	51.573	30.000	11.545
11.227	51.566	30.000	11.545
11.228	51.387	30.000	11.545
11.229	50.931	30.000	11.545
11.230	50.952	30.000	11.545
11.231	51.202	30.000	11.545
11.232	51.409	30.000	11.545
11.233	51.498	30.000	11.545
11.234	51.484	30.000	11.545
11.235	51.541	30.000	11.545
11.236	51.591	30.000	11.545
11.237	51.366	30.000	11.545
11.238	51.227	30.000	11.545
11.239	51.369	30.000	11.545
11.240	51.491	30.000	11.545
11.241	51.562	30.000	11.545
11.242	51.544	30.000	11.545
11.243	51.509	30.000	11.545
11.244	51.605	30.000	11.545
11.245	51.580	30.000	11.545
11.246	51.562	30.000	11.545
11.247	51.580	30.000	11.545
11.248	51.616	30.000	11.545
11.249	51.437	30.000	11.545
11.250	51.509	30.000	71.545
11.251	51.573	30.000	71.545
11.252	51.491	30.000	71.545
11.253	51.576	30.000	71.545
11.254	51.576	30.000	71.545
11.255	51.594	30.000	71.545
11.256	51.630	30.000	71.545
11.257	51.594	30.000	71.545
11.258	51.558	30.000	71.545
11.259	51.569	30.000	71.545
11.260	51.608	30.000	71.545
11.261	51.558	30.000	71.545
11.262	51.555	30.000	71.545
11.263	51.533	30.000	71.545
11.264	51.644	30.000	71.545
11.265	51.676	30.000	71.545
11.266	51.612	30.000	71.545
11.267	51.644	30.000	71.545
11.268	51.537	30.000	71.545
11.269	51.555	30.000	71.545
11.270	51.698	30.000	71.545
11.271	51.498	30.000	71.545
11.272	51.491	30.000	71.545
11.273	51.551	30.000	71.545
11.274	51.648	30.000	71.545
11.275	51.594	30.000	71.545
11.276	51.566	30.000	71.545
11.277	51.562	30.000	71.545
11.278	51.426	30.000	71.545
11.279	51.434	30.000	71.545
