tempo	theta	ref	usig
14.400	51.124	50.000	41.655
14.401	51.454	50.000	41.655
14.402	51.611	50.000	41.655
14.403	51.701	50.000	41.655
14.404	51.722	50.000	41.655
14.405	51.758	50.000	41.655
14.406	51.801	50.000	41.655
14.407	51.812	50.000	41.655
14.408	51.805	50.000	41.655
14.409	51.704	50.000	41.655
14.410	51.712	50.000	41.655
14.411	51.747	50.000	41.655
14.412	51.848	50.000	41.655
14.413	51.794	50.000	41.655
14.414	51.790	50.000	41.655
14.415	51.808	50.000	41.655
14.416	51.780	50.000	41.655
14.417	51.747	50.000	41.655
14.418	51.772	50.000	41.655
14.419	51.712	50.000	41.655
14.420	51.769	50.000	41.655
14.421	51.712	50.000	41.655
14.422	51.497	50.000	41.655
14.423	51.440	50.000	41.655
14.424	51.640	50.000	41.655
14.425	51.701	50.000	41.655
14.426	51.719	50.000	41.655
14.427	51.762	50.000	41.655
14.428	51.747	50.000	41.655
14.429	51.758	50.000	41.655
14.430	51.765	50.000	41.655
14.431	51.765	50.000	41.655
14.432	51.819	50.000	41.655
14.433	51.808	50.000	41.655
14.434	51.726	50.000	41.655
14.435	51.762	50.000	41.655
14.436	51.787	50.000	41.655
14.437	51.769	50.000	41.655
14.438	51.726	50.000	41.655
14.439	51.697	50.000	41.655
14.440	51.694	50.000	41.655
14.441	51.690	50.000	41.655
14.442	51.765	50.000	41.655
14.443	51.765	50.000	41.655
14.444	51.798	50.000	41.655
14.445	51.787	50.000	41.655
14.446	51.848	50.000	41.655
14.447	51.805	50.000	41.655
14.448	51.826	50.000	41.655
14.449	51.733	50.000	41.655
14.450	51.730	50.000	41.655
14.451	51.744	50.000	41.655
14.452	51.776	50.000	41.655
14.453	51.780	50.000	41.655
14.454	51.776	50.000	41.655
14.455	51.787	50.000	41.655
14.456	51.794	50.000	41.655
14.457	51.747	50.000	41.655
14.458	51.751	50.000	41.655
14.459	51.801	50.000	41.655
14.460	51.819	50.000	41.655
14.461	51.844	50.000	41.655
14.462	51.833	50.000	41.655
14.463	51.841	50.000	41.655
14.464	51.783	50.000	41.655
14.465	51.787	50.000	41.655
14.466	51.937	50.000	41.655
14.467	51.787	50.000	41.655
14.468	51.758	50.000	41.655
14.469	51.708	50.000	41.655
14.470	51.672	50.000	41.655
14.471	51.708	50.000	41.655
14.472	51.701	50.000	41.655
14.473	51.737	50.000	41.655
14.474	51.719	50.000	41.655
14.475	51.701	50.000	41.655
14.476	51.780	50.000	41.655
14.477	51.755	50.000	41.655
14.478	51.772	50.000	41.655
14.479	51.755	50.000	41.655
14.480	51.740	50.000	41.655
14.481	51.726	50.000	41.655
14.482	51.744	50.000	41.655
14.483	51.794	50.000	41.655
14.484	51.751	50.000	41.655
14.485	51.747	50.000	41.655
14.486	51.801	50.000	41.655
14.487	51.787	50.000	41.655
14.488	51.794	50.000	41.655
14.489	51.687	50.000	41.655
14.490	51.296	50.000	41.655
14.491	51.518	50.000	41.655
14.492	51.665	50.000	41.655
14.493	51.722	50.000	41.655
14.494	51.461	50.000	41.655
14.495	51.418	50.000	41.655
14.496	51.633	50.000	41.655
14.497	51.715	50.000	41.655
14.498	51.747	50.000	41.655
14.499	51.747	50.000	41.655
14.500	51.758	50.000	41.655
14.501	51.751	50.000	41.655
14.502	51.744	50.000	41.655
14.503	51.712	50.000	41.655
14.504	51.747	50.000	41.655
14.505	51.715	50.000	41.655
14.506	51.769	50.000	41.655
14.507	51.730	50.000	41.655
14.508	51.755	50.000	41.655
14.509	51.697	50.000	41.655
14.510	51.676	50.000	41.655
14.511	51.769	50.000	41.655
14.512	51.765	50.000	41.655
14.513	51.769	50.000	41.655
14.514	51.747	50.000	41.655
14.515	51.755	50.000	41.655
14.516	51.787	50.000	41.655
14.517	51.755	50.000	41.655
14.518	51.730	50.000	41.655
14.519	51.708	50.000	41.655
14.520	51.672	50.000	41.655
14.521	51.747	50.000	41.655
14.522	51.769	50.000	41.655
14.523	51.844	50.000	41.655
14.524	51.862	50.000	41.655
14.525	51.844	50.000	41.655
14.526	51.848	50.000	41.655
14.527	51.909	50.000	41.655
14.528	51.955	50.000	41.655
14.529	51.830	50.000	41.655
14.530	51.787	50.000	41.655
14.531	51.730	50.000	41.655
14.532	51.751	50.000	41.655
14.533	51.715	50.000	41.655
14.534	51.726	50.000	41.655
14.535	51.708	50.000	41.655
14.536	51.805	50.000	41.655
14.537	51.819	50.000	41.655
14.538	51.862	50.000	41.655
14.539	51.726	50.000	41.655
14.540	51.393	50.000	41.655
14.541	51.368	50.000	41.655
14.542	51.558	50.000	41.655
14.543	51.697	50.000	41.655
14.544	51.762	50.000	41.655
14.545	51.769	50.000	41.655
14.546	51.726	50.000	41.655
14.547	51.812	50.000	41.655
14.548	51.765	50.000	41.655
14.549	51.658	50.000	41.655
14.550	51.726	50.000	41.655
14.551	51.776	50.000	41.655
14.552	51.719	50.000	41.655
14.553	51.697	50.000	41.655
14.554	51.633	50.000	41.655
14.555	51.683	50.000	41.655
14.556	51.747	50.000	41.655
14.557	51.780	50.000	41.655
14.558	51.712	50.000	41.655
14.559	51.762	50.000	41.655
14.560	51.726	50.000	41.655
14.561	51.790	50.000	41.655
14.562	51.794	50.000	41.655
14.563	51.783	50.000	41.655
14.564	51.278	50.000	41.655
14.565	51.486	50.000	41.655
14.566	51.654	50.000	41.655
14.567	51.694	50.000	41.655
14.568	51.708	50.000	41.655
14.569	51.755	50.000	41.655
14.570	51.690	50.000	41.655
14.571	51.708	50.000	41.655
14.572	51.787	50.000	41.655
14.573	51.737	50.000	41.655
14.574	51.805	50.000	41.655
14.575	51.762	50.000	41.655
14.576	51.891	50.000	41.655
14.577	51.733	50.000	41.655
14.578	51.450	50.000	41.655
14.579	51.611	50.000	41.655
14.580	51.389	50.000	41.655
14.581	51.307	50.000	41.655
14.582	51.572	50.000	41.655
14.583	51.289	50.000	41.655
14.584	51.368	50.000	41.655
14.585	51.357	50.000	41.655
14.586	51.271	50.000	41.655
14.587	51.533	50.000	41.655
14.588	51.447	50.000	41.655
14.589	50.831	50.000	41.655
14.590	50.706	50.000	41.655
14.591	50.723	50.000	41.655
14.592	51.167	50.000	41.655
14.593	51.103	50.000	41.655
14.594	51.289	50.000	41.655
14.595	51.332	50.000	41.655
14.596	50.881	50.000	41.655
14.597	51.296	50.000	41.655
14.598	51.508	50.000	41.655
14.599	51.593	50.000	41.655
14.600	51.468	50.000	41.655
14.601	51.626	50.000	41.655
14.602	51.690	50.000	41.655
14.603	51.701	50.000	41.655
14.604	51.737	50.000	41.655
14.605	51.654	50.000	41.655
14.606	51.737	50.000	41.655
14.607	51.422	50.000	41.655
14.608	51.583	50.000	41.655
14.609	51.640	50.000	41.655
14.610	51.586	50.000	41.655
14.611	51.679	50.000	41.655
14.612	51.712	50.000	41.655
14.613	51.744	50.000	41.655
14.614	51.722	50.000	41.655
14.615	51.762	50.000	41.655
14.616	51.679	50.000	41.655
14.617	51.704	50.000	41.655
14.618	51.751	50.000	41.655
14.619	51.747	50.000	41.655
14.620	51.744	50.000	41.655
14.621	51.404	50.000	41.655
14.622	51.776	50.000	41.655
14.623	51.142	50.000	41.655
14.624	51.042	50.000	41.655
14.625	51.203	50.000	41.655
14.626	51.071	50.000	41.655
14.627	50.938	50.000	41.655
14.628	50.527	50.000	41.655
14.629	50.623	50.000	41.655
14.630	51.074	50.000	41.655
14.631	51.006	50.000	41.655
14.632	51.371	50.000	41.655
14.633	51.085	50.000	41.655
14.634	51.397	50.000	41.655
14.635	51.597	50.000	41.655
14.636	51.343	50.000	41.655
14.637	51.586	50.000	41.655
14.638	51.719	50.000	41.655
14.639	51.196	50.000	41.655
14.640	51.690	50.000	41.655
14.641	51.747	50.000	41.655
14.642	51.758	50.000	41.655
14.643	51.701	50.000	41.655
14.644	51.808	50.000	41.655
14.645	51.819	50.000	41.655
14.646	51.866	50.000	41.655
14.647	51.912	50.000	41.655
14.648	51.783	50.000	41.655
14.649	51.883	50.000	41.655
14.650	51.866	50.000	41.655
14.651	51.808	50.000	41.655
14.652	51.787	50.000	41.655
14.653	51.826	50.000	41.655
14.654	51.891	50.000	41.655
14.655	51.887	50.000	41.655
14.656	51.962	50.000	41.655
14.657	51.959	50.000	41.655
14.658	51.912	50.000	41.655
14.659	51.923	50.000	41.655
14.660	51.876	50.000	41.655
14.661	51.737	50.000	41.655
14.662	51.765	50.000	41.655
14.663	51.769	50.000	41.655
14.664	51.740	50.000	41.655
14.665	51.733	50.000	41.655
14.666	51.697	50.000	41.655
14.667	51.719	50.000	41.655
14.668	51.429	50.000	41.655
14.669	51.475	50.000	41.655
14.670	51.593	50.000	41.655
14.671	51.651	50.000	41.655
14.672	51.633	50.000	41.655
14.673	50.970	50.000	41.655
14.674	51.064	50.000	41.655
14.675	51.397	50.000	41.655
14.676	51.626	50.000	41.655
14.677	51.669	50.000	41.655
14.678	51.708	50.000	41.655
14.679	51.687	50.000	41.655
14.680	51.744	50.000	41.655
14.681	51.715	50.000	41.655
14.682	51.683	50.000	41.655
14.683	51.755	50.000	41.655
14.684	51.712	50.000	41.655
14.685	51.704	50.000	41.655
14.686	51.747	50.000	41.655
14.687	51.744	50.000	41.655
14.688	51.733	50.000	41.655
